№,Секунда,Микросекунда
1,10,645500
2,10,645509
3,10,645512
4,10,645515
5,10,645517
6,10,645520
7,10,645521
8,10,645526
9,10,645528
10,10,645530
11,10,645533
12,10,645535
13,10,645537
14,10,645539
15,10,645541
16,10,645543
17,10,645545
18,10,645547
19,10,645549
20,10,645551
21,10,645553
22,10,645555
23,10,645557
24,10,645559
25,10,645560
26,10,645562
27,10,645564
28,10,645566
29,10,645568
30,10,645570
31,10,645571
32,10,645573
33,10,645575
34,10,645577
35,10,645579
36,10,645580
37,10,645581
38,10,645583
39,10,645584
40,10,645585
41,10,645587
42,10,645588
43,10,645589
44,10,645590
45,10,645591
46,10,645593
47,10,645594
48,10,645595
49,10,645596
50,10,645597
51,10,645599
52,10,645600
53,10,645601
54,10,645603
55,10,645604
56,10,645605
57,10,645606
58,10,645607
59,10,645609
60,10,645610
61,10,645611
62,10,645612
63,10,645614
64,10,645615
65,10,645617
66,10,645618
67,10,645619
68,10,645620
69,10,645622
70,10,645623
71,10,645624
72,10,645627
73,10,645628
74,10,645629
75,10,645631
76,10,645632
77,10,645634
78,10,645635
79,10,645636
80,10,645638
81,10,645639
82,10,645640
83,10,645641
84,10,645642
85,10,645644
86,10,645645
87,10,645646
88,10,645647
89,10,645648
90,10,645650
91,10,645651
92,10,645652
93,10,645654
94,10,645655
95,10,645656
96,10,645657
97,10,645659
98,10,645660
99,10,645661
100,10,645662
101,10,645664
102,10,645665
103,10,645666
104,10,645667
105,10,645668
106,10,645670
107,10,645671
108,10,645672
109,10,645674
110,10,645675
111,10,645676
112,10,645678
113,10,645679
114,10,645680
115,10,645681
116,10,645682
117,10,645684
118,10,645685
119,10,645686
120,10,645687
121,10,645689
122,10,645690
123,10,645691
124,10,645692
125,10,645694
126,10,645695
127,10,645696
128,10,645697
129,10,645699
130,10,645701
131,10,645702
132,10,645703
133,10,645705
134,10,645706
135,10,645707
136,10,645709
137,10,645710
138,10,645712
139,10,645713
140,10,645714
141,10,645715
142,10,645717
143,10,645718
144,10,645719
145,10,645720
146,10,645721
147,10,645723
148,10,645724
149,10,645725
150,10,645727
151,10,645728
152,10,645729
153,10,645731
154,10,645732
155,10,645733
156,10,645734
157,10,645735
158,10,645737
159,10,645738
160,10,645739
161,10,645740
162,10,645741
163,10,645743
164,10,645744
165,10,645745
166,10,645746
167,10,645748
168,10,645749
169,10,645750
170,10,645751
171,10,645753
172,10,645754
173,10,645756
174,10,645757
175,10,645759
176,10,645760
177,10,645761
178,10,645763
179,10,645764
180,10,645765
181,10,645766
182,10,645768
183,10,645769
184,10,645770
185,10,645771
186,10,645772
187,10,645774
188,10,645775
189,10,645776
190,10,645777
191,10,645779
192,10,645780
193,10,645781
194,10,645783
195,10,645784
196,10,645785
197,10,645786
198,10,645787
199,10,645789
200,10,645791
201,10,645793
202,10,645794
203,10,645795
204,10,645797
205,10,645798
206,10,645799
207,10,645800
208,10,645801
209,10,645803
210,10,645804
211,10,645805
212,10,645806
213,10,645808
214,10,645809
215,10,645810
216,10,645811
217,10,645813
218,10,645814
219,10,645815
220,10,645816
221,10,645817
222,10,645819
223,10,645820
224,10,645821
225,10,645822
226,10,645823
227,10,645825
228,10,645826
229,10,645828
230,10,645829
231,10,645830
232,10,645831
233,10,645833
234,10,645834
235,10,645836
236,10,645837
237,10,645839
238,10,645841
239,10,645843
240,10,645845
241,10,645846
242,10,645848
243,10,645850
244,10,645852
245,10,645854
246,10,645856
247,10,645858
248,10,645860
249,10,645863
250,10,645864
251,10,645866
252,10,645867
253,10,645868
254,10,645869
255,10,645870
256,10,645871
257,10,645873
258,10,645874
259,10,645876
260,10,645877
261,10,645878
262,10,645880
263,10,645881
264,10,645884
265,10,645885
266,10,645886
267,10,645888
268,10,645889
269,10,645891
270,10,645892
271,10,645893
272,10,645895
273,10,645896
274,10,645897
275,10,645898
276,10,645900
277,10,645901
278,10,645902
279,10,645903
280,10,645905
281,10,645906
282,10,645907
283,10,645908
284,10,645910
285,10,645911
286,10,645912
287,10,645913
288,10,645915
289,10,645916
290,10,645917
291,10,645918
292,10,645920
293,10,645921
294,10,645922
295,10,645923
296,10,645925
297,10,645926
298,10,645927
299,10,645928
300,10,645930
